id base_name video_name class width height x y
302 1065_video-HNyUVi6zBAc 1065_video-HNyUVi6zBAc_6 0 180 293 220 108
303 1078_video-HNyUVi6zBAc 1078_video-HNyUVi6zBAc_2 0 222 329 158 61
304 1081_video-HNyUVi6zBAc 1081_video-HNyUVi6zBAc_2 0 135 306 219 53
305 1112_video-HNyUVi6zBAc 1112_video-HNyUVi6zBAc_1 0 125 214 238 48
306 1115_video-HNyUVi6zBAc 1115_video-HNyUVi6zBAc_1 0 237 434 211 46
307 1131_video-IZJwmFY4QdU 1131_video-IZJwmFY4QdU_4 0 244 353 291 39
308 1138_video-JZfQWhp5RFs 1138_video-JZfQWhp5RFs_3 0 250 190 169 126
309 1141_video-JZfQWhp5RFs 1141_video-JZfQWhp5RFs_3 0 136 221 362 23
310 1160_video-MOdHbCSGhy4 1160_video-MOdHbCSGhy4_1 0 152 311 168 169
311 1162_video-MOdHbCSGhy4 1162_video-MOdHbCSGhy4_1 0 170 292 173 188
312 1172_video-O4WmGxy9lC8 1172_video-O4WmGxy9lC8_1 0 228 330 25 125
313 1174_video-O4WmGxy9lC8 1174_video-O4WmGxy9lC8_1 0 420 338 212 107
314 1240_video-VBdgLz8dDls 1240_video-VBdgLz8dDls_1 0 94 182 333 90
315 1270_video-XdQSCBs8KPo 1270_video-XdQSCBs8KPo_3 0 237 426 0 54
316 1272_video-XdQSCBs8KPo 1272_video-XdQSCBs8KPo_1 0 611 449 0 31
317 1362_video-ZKQ8QiPdo00 1362_video-ZKQ8QiPdo00_1 0 93 234 382 80
318 1364_video-ZKQ8QiPdo00 1364_video-ZKQ8QiPdo00_1 0 159 322 344 55
319 1390_video-eTBjeTEawR0 1390_video-eTBjeTEawR0_2 0 226 309 0 59
320 1392_video-eTBjeTEawR0 1392_video-eTBjeTEawR0_1 0 267 394 73 86
321 1394_video-eTBjeTEawR0 1394_video-eTBjeTEawR0_1 0 352 346 133 134
322 1396_video-eTBjeTEawR0 1396_video-eTBjeTEawR0_3 0 269 339 157 141
323 1404_video-eo6TxMSCZ_8 1404_video-eo6TxMSCZ_8_1 0 255 388 27 6
324 1407_video-eo6TxMSCZ_8 1407_video-eo6TxMSCZ_8_1 0 156 450 41 17
325 1412_video-evPpXY_DoGA 1412_video-evPpXY_DoGA_1 0 257 302 240 148
326 1415_video-fEYEGALJgZY 1415_video-fEYEGALJgZY_1 0 256 315 200 0
327 1417_video-fEYEGALJgZY 1417_video-fEYEGALJgZY_1 0 394 480 246 0
328 1421_video-hZrEweU8x1M 1421_video-hZrEweU8x1M_3 0 266 180 185 0
329 1423_video-hZrEweU8x1M 1423_video-hZrEweU8x1M_8 0 145 210 0 11
330 1425_video-hZrEweU8x1M 1425_video-hZrEweU8x1M_2 0 294 392 346 88
331 1426_video-hZrEweU8x1M 1426_video-hZrEweU8x1M_1 0 571 318 13 162
332 1428_video-hZrEweU8x1M 1428_video-hZrEweU8x1M_3 0 61 186 0 19
333 1430_video-hZrEweU8x1M 1430_video-hZrEweU8x1M_2 0 190 355 0 82
334 1431_video-hZrEweU8x1M 1431_video-hZrEweU8x1M_2 0 127 170 179 11
335 1431_video-hZrEweU8x1M 1431_video-hZrEweU8x1M_3 0 198 384 0 68
336 1435_video-hZrEweU8x1M 1435_video-hZrEweU8x1M_3 0 266 362 166 118
337 1437_video-hZrEweU8x1M 1437_video-hZrEweU8x1M_2 0 254 310 30 170
338 1442_video-kYwPNAdKTpI_0 1442_video-kYwPNAdKTpI_0_4 0 213 88 141 12
339 1445_video-kYwPNAdKTpI_0 1445_video-kYwPNAdKTpI_0_1 0 210 328 425 49
340 1449_video-kYwPNAdKTpI_1 1449_video-kYwPNAdKTpI_1_2 0 125 240 413 61
341 1459_video-kYwPNAdKTpI_2 1459_video-kYwPNAdKTpI_2_1 0 288 301 131 179
342 1462_video-kYwPNAdKTpI_2 1462_video-kYwPNAdKTpI_2_1 0 230 357 104 123
343 1516_video-o6HozKyz2cE 1516_video-o6HozKyz2cE_1 0 296 309 256 171
344 1518_video-o6HozKyz2cE 1518_video-o6HozKyz2cE_2 0 297 188 343 284
345 1533_video-wan0OOX7YBU 1533_video-wan0OOX7YBU_1 0 282 428 138 36
346 1540_video-wan0OOX7YBU 1540_video-wan0OOX7YBU_1 0 187 384 253 43
347 1544_video-wan0OOX7YBU 1544_video-wan0OOX7YBU_2 0 52 162 194 48
348 593_video-GB0e1M5p3NU 593_video-GB0e1M5p3NU_3 0 84 195 26 98
349 590_video-GB0e1M5p3NU 590_video-GB0e1M5p3NU_3 0 63 172 80 88
350 595_video-GB0e1M5p3NU 595_video-GB0e1M5p3NU_6 0 93 206 35 99
351 589_video-GB0e1M5p3NU 589_video-GB0e1M5p3NU_2 0 120 291 0 85
352 404_video-2EoU6EXnPuE 404_video-2EoU6EXnPuE_3 0 135 184 107 227
353 1064_video-HNyUVi6zBAc 1064_video-HNyUVi6zBAc_2 0 72 124 338 35
354 862_video--JIyKmeGOSU_1 862_video--JIyKmeGOSU_1_2 0 72 177 367 124
355 441_video-4WZo39BbE3o_3 441_video-4WZo39BbE3o_3_5 1 146 288 374 162
